"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"proceeding","1655121","","","","Program Chair-Ernesto  Damiani and Program Chair-Seth  Proctor and Program Chair-Anoop  Singal","","","","","","","","","","","","","2009","","Proceedings of the 2009 ACM Workshop on Secure Web Services","","","978-1-60558-789-9","Chicago, Illinois, USA","ACM","New York, NY, USA"
"article","1657760","Domenico  Cotroneo and Antonio  Pecchia and Roberto  Pietrantuono and Stefano  Russo","","","","A Failure Analysis of Data Distribution Middleware in a Mission-critical System for Air Traffic Control","25--30","","6","air traffic control, data distribution service, failure mode emulation, software dependability","10.1145/1657755.1657760","","","","","","","2009","","Proceedings of the 4th International Workshop on Middleware for Service Oriented Computing","MWSOC '09","","978-1-60558-848-3","Urbana Champaign, Illinois","ACM","New York, NY, USA"
"article","2492407","Bahtijar  Vogel","","","","Towards Open Architecture System","731--734","","4","Open architecture, customizability, evolvability, extensibility, flexibility, model, validation, web and mobile software","10.1145/2491411.2492407","","","","","","","2013","","Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering","ESEC/FSE 2013","","978-1-4503-2237-9","Saint Petersburg, Russia","ACM","New York, NY, USA"
"article","2664373","Richard  Turner and Raymond  Madachy and Dan  Ingold and Jo Ann Lane","","","","Improving Systems Engineering Effectiveness in Rapid Response Development Environments","78--82","","5","integrating software and systems engineering, kanban processes, process integration, service-based systems engineering, systems engineering process, value-based engineering","","","","","","","","2012","","Proceedings of the International Conference on Software and System Process","ICSSP '12","","978-1-4673-2352-9","Zurich, Switzerland","IEEE Press","Piscataway, NJ, USA"
"article","1387279","Dhaminda  Abeywickrama and Sita  Ramakrishnan","","","","A Model-based Approach for Engineering Pervasive Services in SOAs","57--60","","4","context-aware services, model-checking, software architectures","10.1145/1387269.1387279","","","","","","","2008","","Proceedings of the 5th International Conference on Pervasive Services","ICPS '08","","978-1-60558-135-4","Sorrento, Italy","ACM","New York, NY, USA"
"article","2666049","Damian A. Tamburri and Ivan S. Razo-Zapata and H&#233;ctor  Fern&#225;ndez and C&#233;dric  Tedeschi","","","","Simulating Awareness in Global Software Engineering: A Comparative Analysis of Scrum and Agile Service Networks","1--7","","7","agile service networks, chemical engine, global software engineering","","","","","","","","2012","","Proceedings of the 4th International Workshop on Principles of Engineering Service-Oriented Systems","PESOS '12","","978-1-4673-1755-9","Zurich, Switzerland","IEEE Press","Piscataway, NJ, USA"
"article","2743089","V.  Padmapriya and J.  Amudhavel and M.  Thamizhselvi and K.  Bakkiya and B.  Sujitha and K. Prem Kumar","","","","A Scalable Service Oriented Consistency Model For Cloud Environment (SSOCM)","24:1--24:5","24","5","Consistency, auditing consistency, consistency service provider (CSP), heuristic strategy (HAS) consistency availability and partition tolerance (CAP)","10.1145/2743065.2743089","","","","","","","2015","","Proceedings of the 2015 International Conference on Advanced Research in Computer Science Engineering &#38; Technology (ICARCSET 2015)","ICARCSET '15","","978-1-4503-3441-9","Unnao, India","ACM","New York, NY, USA"
"article","2007049","Yang  Liu and Robert  Kelley and Phani  Polina and Sunderesh  Heragu and Anup  Kumar","","","","iResTrac: An Architecture for Maintaining Medical Resource Status with Mobile Devices","10:1--10:4","10","4","application design, healthcare systems engineering, mobile applications","10.1145/2007036.2007049","","","","","","","2011","","Proceedings of the First ACM MobiHoc Workshop on Pervasive Wireless Healthcare","MobileHealth '11","","978-1-4503-0780-2","Paris, France","ACM","New York, NY, USA"
"article","1244178","Xin  Liu and Ralph  Deters","","","","An Efficient Dual Caching Strategy for Web Service-enabled PDAs","788--794","","7","SOA, caching, model-based caching, nomadic web services client, web services","10.1145/1244002.1244178","","","","","","","2007","","Proceedings of the 2007 ACM Symposium on Applied Computing","SAC '07","","1-59593-480-4","Seoul, Korea","ACM","New York, NY, USA"
"article","2442933","Vikas  Kumar and Vishal  Dave and Rahul  Bhadauriya and Sanjay  Chaudhary","","","","KrishiMantra: Agricultural Recommendation System","45:1--45:2","45","2","SOA, geographic information system (GIS), ontology, recommendation, semantic web, services","10.1145/2442882.2442933","","","","","","","2013","","Proceedings of the 3rd ACM Symposium on Computing for Development","ACM DEV '13","","978-1-4503-1856-3","Bangalore, India","ACM","New York, NY, USA"
